Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 10:15:16,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,"0,591959799"
15/12/2019 10:18:12,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 10:18:48,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 10:19:05,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 10:20:38,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 10:22:43,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:25:05,Poco claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 10:26:02,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:26:39,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 10:27:58,Muy claro,Nada complicado,6,Entre 15 y 20 años,Hombre,
15/12/2019 10:28:16,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 10:28:38,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:29:32,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 10:29:34,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 10:30:08,Muy claro,Poco complicado,7,71 o más,Hombre,
15/12/2019 10:30:29,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 10:31:27,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 10:31:47,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 10:32:10,Muy claro,Poco complicado,7,Entre 61 y 70,Mujer,
15/12/2019 10:33:01,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 10:33:58,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:35:21,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 10:35:36,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:35:51,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 10:37:55,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 10:38:17,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 10:38:45,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 10:39:06,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:39:09,Muy claro,Nada complicado,5,71 o más,Mujer,
15/12/2019 10:39:25,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:40:29,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 10:40:49,Muy claro,Poco complicado,7,Entre 31 y 40,Hombre,
15/12/2019 10:41:25,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 10:41:26,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:41:30,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:41:57,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 10:42:14,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 10:42:35,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:43:50,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:44:03,Muy claro,Nada complicado,6,Entre 51 y 60,Mujer,
15/12/2019 10:44:23,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 10:44:53,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 10:45:12,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 10:45:26,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 10:46:28,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 10:46:37,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 10:47:07,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 10:47:13,Muy claro,Nada complicado,6,71 o más,Hombre,
15/12/2019 10:48:06,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 10:48:11,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:48:14,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 10:48:18,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:48:18,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 10:48:34,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 10:48:59,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 10:49:15,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 10:49:25,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:49:57,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:50:26,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
