Timestamp,"Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la educación pública]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la vivienda]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Ampliar el acceso al agua]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Cuidado del medio ambiente y recursos naturales]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Deuda universitaria (CAE y otros)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar la calidad de la salud pública y su financiamiento]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar las pensiones y dignificar la vida de los adultos mayores]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir costos de los servicios básicos (agua, electricidad, etc.)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la desigualdad de ingresos]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la impunidad y la delincuencia]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Transporte público (calidad, acceso y precio)]"
13/01/2020 17:38:25,Nulo,Ext imp.,Muy imp.,Ext imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Ext imp.,Muy imp.,Blanco
13/01/2020 17:38:49,Ext imp.,Blanco,Blanco,Blanco,Ext imp.,Blanco,Ext imp.,Blanco,Blanco,Blanco,Blanco
13/01/2020 17:39:10,Ext imp.,Ext imp.,Ext imp.,Ext imp.,Blanco,Ext imp.,Ext imp.,Ext imp.,Ext imp.,Ext imp.,Ext imp.
13/01/2020 17:39:43,Ext imp.,Ext imp.,Blanco,Blanco,Blanco,Ext imp.,Blanco,Imp,Blanco,Blanco,Imp
13/01/2020 17:40:06,Blanco,Blanco,Blanco,Blanco,Muy imp.,Blanco,Ext imp.,Blanco,Blanco,Blanco,Imp
13/01/2020 17:40:56,Muy imp.,Muy imp.,Imp,Imp,Imp,Ext imp.,Ext imp.,Imp,Imp,No es imp,Med. imp
13/01/2020 17:42:05,Ext imp.,Ext imp.,Blanco,Blanco,Ext imp.,Muy imp.,Ext imp.,Muy imp.,Ext imp.,Blanco,Ext imp.
13/01/2020 17:43:12,Ext imp.,Blanco,Ext imp.,Blanco,Nulo,Ext imp.,Ext imp.,Ext imp.,Blanco,Ext imp.,Blanco
13/01/2020 17:43:32,Blanco,Blanco,Blanco,Blanco,Ext imp.,Blanco,Ext imp.,Ext imp.,Blanco,Blanco,Blanco
13/01/2020 17:44:10,Muy imp.,Muy imp.,Imp,Ext imp.,Ext imp.,Ext imp.,Ext imp.,Muy imp.,Ext imp.,No es imp,Muy imp.
13/01/2020 17:44:41,Blanco,Ext imp.,Blanco,Blanco,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Blanco,Ext imp.,Blanco
13/01/2020 17:45:09,Muy imp.,Blanco,Muy imp.,Ext imp.,Muy imp.,Ext imp.,Ext imp.,Muy imp.,Muy imp.,Imp,Ext imp.
13/01/2020 17:45:44,Ext imp.,Imp,Muy imp.,Ext imp.,Ext imp.,Imp,Muy imp.,Imp,Blanco,Muy imp.,Muy imp.
13/01/2020 17:46:03,Blanco,Ext imp.,Ext imp.,Blanco,Blanco,Ext imp.,Ext imp.,Blanco,Blanco,Blanco,Blanco
